size,time_sec,iterations
10,0.00159037299999909,1000
11,0.0020652150014939252,1331
12,0.002676365998922847,1728
13,0.0033567870013939682,2197
14,0.004168767000010121,2744
15,0.005281504998492892,3375
16,0.006331675000183168,4096
17,0.007542872999692918,4913
18,0.008828158999676816,5832
19,0.010469717999512795,6859
20,0.012426417999449768,8000
21,0.01419967599940719,9261
22,0.01642089000051783,10648
23,0.018774992000544444,12167
24,0.021372659000917338,13824
25,0.02397116499923868,15625
26,0.027093953000076,17576
27,0.03033112100092694,19683
28,0.033735322000211454,21952
29,0.03716375499971036,24389
30,0.04167657400103053,27000
31,0.0450698820004618,29791
32,0.04978967599890893,32768
33,0.06030611000096542,35937
34,0.05943966300037573,39304
35,0.0643743929995253,42875
36,0.07002124800055753,46656
37,0.07628937700064853,50653
38,0.08315795700036688,54872
39,0.08891983600005915,59319
40,0.09698734599987802,64000
41,0.10312322299978405,68921
42,0.11044983899955696,74088
43,0.11955180699987977,79507
44,0.12812593300077424,85184
45,0.13721170000098937,91125
46,0.14638315299998794,97336
47,0.15677939300076105,103823
48,0.16621355000097537,110592
49,0.17599231699932716,117649
50,0.1867084799996519,125000
51,0.19855728400034423,132651
52,0.21158398700026737,140608
53,0.22506410799906007,148877
54,0.23510111299947312,157464
55,0.25100299500081746,166375
56,0.26481101799981843,175616
57,0.2811223219996464,185193
58,0.2896184669989452,195112
59,0.3098274740004854,205379
60,0.32623138499911875,216000
61,0.3439377239992609,226981
62,0.36016587499943853,238328
63,0.36642990200016357,250047
64,0.39143864099969505,262144
65,0.3905460440000752,274625
66,0.34314859499863815,287496
67,0.3134202979999827,300763
68,0.29137583400006406,314432
69,0.2967423560003226,328509
70,0.31261825099863927,343000
71,0.3280846899997414,357911
72,0.3411687849984446,373248
73,0.35758964699925855,389017
74,0.3726287900008174,405224
75,0.38590043600015633,421875
76,0.3968309730007604,438976
77,0.4152902819987503,456533
78,0.43264256899965403,474552
79,0.4527061600001616,493039
80,0.46305178700094984,512000
81,0.4825507749992539,531441
82,0.5061389740003506,551368
83,0.5217807030003314,571787
84,0.5342094539992104,592704
85,0.55460999800016,614125
86,0.5811419709989423,636056
87,0.5985601959982887,658503
88,0.6189804259993252,681472
89,0.6455587109994667,704969
90,0.662790390999362,729000
91,0.7125679349992424,753571
92,0.7184340860003431,778688
93,0.7593587280007341,804357
94,0.7543517320009414,830584
95,0.7890277379992767,857375
96,0.8072274650003237,884736
97,0.8289240309986781,912673
98,0.8445729149989347,941192
99,0.8752670670000953,970299
100,0.9185304580005322,1000000
